role_k500_v3,count
Marketing Coordinator,525194.0
Software Engineer,449949.0
Business Development,433791.0
Entrepreneur,424159.0
Community Outreach Coordinator,418184.0
Researcher,293615.0
Sales Director,258839.0
Educator,246405.0
Account Executive,225481.0
Strategy Consultant,181366.0
Product Manager,173268.0
Investment Advisor,169082.0
Real Estate Officer,145835.0
Technology Consultant,144620.0
Visual Designer,135018.0
Media Producer,134754.0
Solutions Architect,132358.0
Education Coordinator,126799.0
Sales Account Executive,120989.0
Project Management,118026.0
Content Creator,114640.0
Customer Experience Strategist,110354.0
Development Officer,107964.0
UX Designer,101942.0
Accountant,97778.0
Communications Specialist,94549.0
Content Writer,93805.0
Sports Coach,90265.0
IT Operations,89163.0
Operations Leader,85671.0
Automotive Engineer,84501.0
University Professor,80013.0
Administrative Coordinator,76541.0
Brand Strategist,74491.0
Financial Analyst,69836.0
Printing Technician,63444.0
Event Coordinator,62766.0
Executive Assistant,61278.0
Application Developer,59967.0
Design Engineer,58735.0
Corporate Attorney,57968.0
Real Estate Agent,56190.0
Attorney,53348.0
Nanotechnology Research Scientist,51521.0
Art Educator,51490.0
Social Services Advisor,51047.0
Embedded Systems Engineer,47762.0
Event Entertainer,47074.0
Technical Product Manager,44875.0
Retail Sales Associate,44752.0
Operations Supervisor,42820.0
Food Service Staff,42682.0
Game Artist,41221.0
Mechanical Systems Engineer,40952.0
Social Media Marketing,40529.0
Healthcare Practitioner,40398.0
Mental Health Counselor,39712.0
Research Scientist,38576.0
Recruiter,38393.0
AI Engineer,37849.0
Healthcare Operations,37054.0
HR Director,36180.0
Recruitment Coordinator,35178.0
Performing Artist,33865.0
Finance Executive,33133.0
Chef,32536.0
Systems Integration Engineer,32181.0
Guest Service Agent,31748.0
Property Management,31713.0
Financial Advisor,31476.0
Paralegal,31060.0
SEO Specialist,29819.0
Data Analyst,29723.0
Business Analyst,29578.0
Communications Officer,29188.0
Acquisition Strategist,28708.0
Law Enforcement Officer,28680.0
Law Enforcement Professional,28389.0
Office Assistant,28363.0
Data Scientist,27635.0
Marketing Insights Analyst,27163.0
Customer Support,26318.0
Recreation Coordinator,25823.0
Healthcare Sales Representative,25780.0
General Manager,25512.0
IT Administrator,25346.0
Insurance Sales Agent,24931.0
Admissions Coordinator,24835.0
Registered Nurse,24069.0
Retail Operations,24006.0
Franchise Operations,23664.0
Manufacturing Engineer,23257.0
News Journalist,22940.0
Clinical Research Scientist,22497.0
Systems Analyst,21978.0
Finance Officer,21635.0
Compliance Auditor,21042.0
Project Coordinator,20593.0
Customer Success,19661.0
Finance Clerk,19541.0
Volunteer Coordinator,19305.0
Career Coach,18544.0
Catering Coordinator,17760.0
