rcid,TOTALRAISED,YEARFOUNDED,EMPLOYEES,REVENUE,Bankrupt,Acquired_IPO,DEALSIZE,SeriesA
16,,2015.0,,,0.0,1.0,,0.0
20,5.233994,2020.0,10.0,,0.0,0.0,4.933994,0.0
83,,2014.0,17.0,,0.0,0.0,,0.0
158,2.500001,2012.0,19.0,7.0,1.0,0.0,2.500001,0.0
224,,,,,,,,0.0
228,193.251737,2015.0,103.0,,0.0,0.0,55.0,1.0
276,,2000.0,54.0,,0.0,1.0,,0.0
376,,2009.0,16.0,,0.0,0.0,,0.0
377,0.8,2017.0,,,1.0,0.0,0.5,0.0
411,3.5,2011.0,25.0,,1.0,0.0,3.5,0.0
422,,,,,,,0.12,0.0
459,8.550002000000001,2004.0,58.0,26.2,0.0,1.0,4.000001,1.0
594,,2008.0,4.0,,0.0,1.0,,0.0
710,,2015.0,2.0,,0.0,0.0,0.0175,0.0
718,6.849998,2015.0,30.0,5.808,0.0,1.0,6.499998,1.0
735,,2015.0,16.0,,0.0,0.0,1.044,0.0
789,0.25,2019.0,12.0,0.5,0.0,0.0,0.25,0.0
853,103.0,2018.0,42.0,,0.0,0.0,78.0,1.0
981,12.5,2017.0,50.0,,0.0,0.0,12.5,0.0
1003,,2009.0,,,0.0,1.0,,0.0
1047,89.5,2016.0,200.0,,0.0,0.0,40.0,1.0
1088,7.65,2021.0,8.0,,0.0,0.0,7.2,0.0
1105,76.605803,2016.0,43.0,7.0,0.0,1.0,100.0,1.0
1122,2.276969,2020.0,10.0,,0.0,0.0,2.276969,0.0
1135,0.314115,2021.0,5.0,,0.0,0.0,0.2,0.0
1159,9.5,2014.0,14.0,,0.0,0.0,9.5,1.0
1252,1.0,2011.0,4.0,,0.0,1.0,1.0,0.0
1368,,,,,,,1.41719172,0.0
1401,,,65.0,6.47,0.0,1.0,1100.0,0.0
1474,84.99999100000001,2000.0,,,0.0,1.0,40.0,1.0
1484,,2019.0,3.0,,1.0,0.0,,0.0
1486,0.05,2014.0,4.0,,1.0,0.0,0.05,0.0
1527,23.025176,2002.0,50.0,,0.0,0.0,11.5,1.0
1647,2.6,2012.0,15.0,,0.0,1.0,17.26,0.0
1664,,2009.0,52.0,,0.0,1.0,,0.0
1680,,2012.0,26.0,,0.0,1.0,6.34,0.0
1761,1.0,2009.0,,,0.0,1.0,1.0,1.0
1790,1.5,2018.0,21.0,0.742,0.0,0.0,1.5,0.0
1844,,,10.0,,0.0,1.0,,0.0
1863,7.29536,2013.0,31.0,,0.0,1.0,3.99536,0.0
1878,8.125325,2016.0,15.0,,0.0,0.0,6.125326,0.0
1905,135.276164,2020.0,25.0,,0.0,0.0,75.276164,0.0
1915,85.0,2000.0,80.0,36.0,0.0,1.0,485.814,1.0
1950,,2008.0,13.0,,0.0,1.0,,0.0
1967,1.8,2020.0,5.0,,0.0,0.0,1.8,0.0
2069,1.715,2012.0,15.0,,0.0,1.0,1.215,0.0
2227,0.035,2013.0,4.0,,1.0,0.0,0.035,0.0
2319,150.0,2021.0,84.0,,0.0,0.0,150.0,0.0
2476,,2010.0,45.0,,0.0,1.0,12.6,0.0
2573,,2005.0,,,0.0,1.0,,0.0
2655,,1988.0,26.0,,0.0,0.0,0.531,0.0
2790,,1998.0,27.0,6.3,0.0,1.0,,0.0
2977,,,,,,,,0.0
3086,0.2,2015.0,12.0,,0.0,0.0,1.75787,0.0
3142,,1999.0,,,0.0,1.0,,0.0
3150,72.791371,2005.0,80.0,20.0,0.0,1.0,18.56385,1.0
3177,,2015.0,,,0.0,0.0,,
3275,,2008.0,,,0.0,0.0,1.23495,0.0
3345,0.02363,2010.0,,,1.0,0.0,0.02363,0.0
3365,,,3.0,,0.0,0.0,5.0,0.0
3368,1.82,2013.0,23.0,,0.0,0.0,1.82,0.0
3417,10.680165,2015.0,30.0,,1.0,0.0,5.0,1.0
3424,0.03,2014.0,4.0,,1.0,0.0,0.03,0.0
3493,0.2,2014.0,6.0,,1.0,0.0,0.2,0.0
3525,1.1,2011.0,24.0,,0.0,0.0,1.1,0.0
3553,11.0,2008.0,129.0,,0.0,0.0,0.6339,0.0
